,"Document Description List
Updated 04/27/2022 - See tab ""list of changes""",,,,,,,,,,
Category,Document Description,USPTO Business Process,DOC CODE,FILING TYPE,NEW/FOLLOWON,,,,,,
First Action Interview Pilot,Amendment/Request for Reconsideration-After Non-Final Rejection,Amendment filed by the applicant in response to a non-final office action issued by the Examiner based on the merits of the application.,A...        ,"371
DESIGN
REEXAM
SUPP EXAM (REEXAM ORDERED)
UTILITY","FOLLOWON
FOLLOWON
FOLLOWON
FOLLOWON
FOLLOWON",,,,,,
Amendment,Amendment after Notice of Allowance (Rule 312)                                                                                  ,"When applicant files an amendment after the Notice of Allowance has been mailed but before the issue fee is paid, the amendment is not entered automatically. It may only be entered upon recommendation of a Primary Examiner. It will not be entered if it requires additional search or more than cursory review.",A.NA        ,"371
DESIGN
REEXAM
SUPP EXAM (REEXAM ORDERED)
UTILITY","FOLLOWON
FOLLOWON
FOLLOWON
FOLLOWON
FOLLOWON",,,,,,
Amendment,Response After Final Action                                                                                                     ,Amendment provided by the applicant after the Examiner closes prosecution with a final rejection. Amendment is not automatically entered by the Examiner. It will not be entered if it requires additional search or more than cursory review.,A.NE        ,"371
DESIGN
REEXAM
SUPP EXAM (REEXAM ORDERED)
UTILITY","FOLLOWON
FOLLOWON
FOLLOWON
FOLLOWON
FOLLOWON",,,,,,
Amendment,Preliminary Amendment                                                                                                           ,Amendment filed by the applicant prior to the Examiner issuing an office action that is based on the merits of the application.,A.PE        ,"371
371
AE_DESIGN
DESIGN
DESIGN
REEXAM
REEXAM
SUPP EXAM (REEXAM ORDERED)
REISSUE_DESIGN
REISSUE_UTILITY
UTILITY
UTILITY","NEW
FOLLOWON
NEW
NEW
FOLLOWON
NEW
FOLLOWON
FOLLOWON
NEW
NEW
NEW
FOLLOWON",,,,,,
Amendment,Response after Ex Parte Quayle Action                                                                                           ,An Ex parte Quayle action is an Office action noting that all claims are allowable and the application is in condition for allowance except as to matters of form such as correction of the specification or a new oath. An Ex parte Quayle action closes prosecution on the merits. A proper response from the applicant to an Ex parte Quayle action is limited to correcting these matters of form.,A.QU        ,"371
DESIGN
REEXAM
SUPP EXAM (REEXAM ORDERED)
UTILITY","FOLLOWON
FOLLOWON
FOLLOWON
FOLLOWON
FOLLOWON",,,,,,
Amendment,Abstract                                                                                                                        ,"A portion of the application, as submitted by the applicant, that gives a brief overview of the disclosed invention.",ABST        ,"371
371
AE_DESIGN
DESIGN
DESIGN
REEXAM
REEXAM
SUPP EXAM (REEXAM ORDERED)
REISSUE_DESIGN
REISSUE_UTILITY
UTILITY
UTILITY","NEW
FOLLOWON
NEW
NEW
NEW
FOLLOWON
NEW
FOLLOWON
NEW
NEW
NEW
FOLLOWON",,,,,,
Amendment,Amendment Submitted/Entered with Filing of CPA/RCE                                                                              ,Applicant may submit an amendment at the time of the filing of a Request for Continued Prosecution Application (CPA) or a Request for Continued Examination (RCE).,AMSB        ,"371
DESIGN
REEXAM
SUPP EXAM (REEXAM ORDERED)
UTILITY","FOLLOWON
FOLLOWON
FOLLOWON
FOLLOWON
FOLLOWON",,,,,,
Amendment,Amendment/Argument after Notice of Appeal                                                                                       ,"An amendment may be filed at any time after final rejection, but before the jurisdiction of the case has passed to the Board of Patent Appeals and Interferences. However, after the Notice of Appeal has been filed by applicant, any amendment or argument filed by applicant is not normally entered unless the paper presented clearly places the application in condition for allowance.",AP/A        ,"371
DESIGN
REEXAM
SUPP EXAM (REEXAM ORDERED)
UTILITY","FOLLOWON
FOLLOWON
FOLLOWON
FOLLOWON
FOLLOWON",,,,,,
Amendment,Amendment/Argument after BPAI Decision                                                                                          ,"An amendment may be filed after the decision of the Board of Patent Appeals and Interferences. If it does include any recommendation made by the Board and presents new or amended claims, in view of the fact that prosecution is closed, the appellant is not entitled to have such amendment entered automatically. However, if the amendment is submitted with a request for continued examination, the prosecution of the application will be reopened and the amendment will be entered. If the amendment obviously places an application in condition for allowance, the primary examiner, with the concurrence of the supervisory patent examiner, will have the amendment entered. Arguments may be filed after the Board's decision such as the judicial precedent or rule or statute has been rescinded or overruled.",BD.A        ,"371
DESIGN
REEXAM
UTILITY","FOLLOWON
FOLLOWON
FOLLOWON
FOLLOWON",,,,,,
Amendment,Request for Rehearing of BPAI Decision                                                                                    ,"The Examiner may request rehearing of the decision of the Board of Patent Appeals and Interferences. All requests by the Examiner to the Board for rehearing of a decision must be approved by the TC Director and must also be forwarded to the Office of the Deputy Commissioner for Patent Examination Policy for approval before mailing. The request should set a period of 1 month for the appellant to file a reply. After the period set for appellant to file a reply has expired, the application file will be forwarded to the Board.",BDRR        ,"371
DESIGN
SUPP EXAM (REEXAM ORDERED)
UTILITY","FOLLOWON
FOLLOWON
FOLLOWON
FOLLOWON",,,,,,
Amendment,Claims                                                                                                                          ,The claim is that part of a patent application particularly pointing out and distinctly claiming the subject matter which the applicant regards as the invention or discovery.,CLM         ,"371
371
AE_UTILITY
AE_DESIGN
DESIGN
DESIGN
REEXAM
REEXAM
SUPP EXAM (REEXAM ORDERED)
REISSUE_DESIGN
REISSUE_UTILITY
UTILITY
UTILITY","NEW
FOLLOWON
NEW
NEW
NEW
FOLLOWON
NEW
FOLLOWON
FOLLOWON
NEW
NEW
NEW
FOLLOWON",,,,,,
